,code,year,value,country name,country,density
168,ERI,,,Eritrea,Eritrea,62.700
169,ETH,,,Ethiopia,Ethiopia,94.100
170,FLK,,,Falkland Islands (Malvinas),,
171,FRO,,,Faroe Islands,,
172,FJI,,,Fiji,Fiji,48.220
173,GUF,,,French Guiana,,
174,PYF,,,French Polynesia,French Polynesia,75.640
175,ATF,,,French Southern Territories,,
176,GAB,,,Gabon,Gabon,6.490
177,GMB,,,Gambia,,
178,GEO,,,Georgia,Georgia,78.320
179,GHA,,,Ghana,Ghana,113.850
180,GIB,,,Gibraltar,,
181,GRL,,,Greenland,Greenland,0.140
182,GRD,,,Grenada,Grenada,311.460
183,GLP,,,Guadeloupe,,
184,GUM,,,Guam,Guam,305.790
185,GTM,,,Guatemala,Guatemala,144.350
186,GGY,,,Guernsey,,
187,GIN,,,Guinea,Guinea,47.800
188,GNB,,,Guinea-Bissau,Guinea-Bissau,60.610
189,GUY,,,Guyana,Guyana,4.060
190,HTI,,,Haiti,Haiti,374.360
191,HMD,,,Heard Island and McDonald Islands,,
192,VAT,,,Holy See (Vatican City State),,
193,HND,,,Honduras,Honduras,72.370
194,HKG,,,Hong Kong,,
195,ISL,,,Iceland,Iceland,3.220
196,IND,,,India,India,421.140
197,IDN,,,Indonesia,Indonesia,124.000
198,IRN,,,"Iran, Islamic Republic of",,
199,IRQ,,,Iraq,Iraq,76.940
200,IMN,,,Isle of Man,Isle of Man,150.680
201,JAM,,,Jamaica,Jamaica,250.690
202,JEY,,,Jersey,,
203,JOR,,,Jordan,Jordan,72.750
204,KAZ,,,Kazakhstan,Kazakhstan,6.310
205,KEN,,,Kenya,Kenya,77.930
206,KIR,,,Kiribati,Kiribati,126.360
207,PRK,,,"Korea, Democratic People's Republic of",,
208,KWT,,,Kuwait,Kuwait,189.030
209,KGZ,,,Kyrgyzstan,,
210,LAO,,,Lao People's Democratic Republic,,
211,LBN,,,Lebanon,Lebanon,436.700
212,LSO,,,Lesotho,Lesotho,68.330
213,LBR,,,Liberia,Liberia,44.580
214,LBY,,,Libyan Arab Jamahiriya,,
215,LIE,,,Liechtenstein,Liechtenstein,230.780
216,MAC,,,Macao,,
217,MKD,,,"Macedonia, the former Yugoslav Republic of",,
218,MDG,,,Madagascar,Madagascar,39.400
219,MWI,,,Malawi,Malawi,173.550
220,MYS,,,Malaysia,Malaysia,90.450
221,MDV,,,Maldives,Maldives,"1,150.080"
222,MLI,,,Mali,Mali,12.540
223,MLT,,,Malta,Malta,"1,322.760"
224,MHL,,,Marshall Islands,Marshall Islands,292.410
225,MTQ,,,Martinique,,
226,MRT,,,Mauritania,Mauritania,3.770
227,MUS,,,Mauritius,Mauritius,638.570
228,MYT,,,Mayotte,,
229,FSM,,,"Micronesia, Federated States of",,
230,MDA,,,"Moldova, Republic of",,
231,MCO,,,Monaco,Monaco,"18,915.500"
232,MNG,,,Mongolia,Mongolia,1.830
233,MNE,,,Montenegro,Montenegro,46.200
234,MSR,,,Montserrat,,
235,MAR,,,Morocco,Morocco,73.960
236,MOZ,,,Mozambique,Mozambique,32.850
237,MMR,,,Myanmar,Myanmar,81.520
238,NAM,,,Namibia,Namibia,2.800
239,NRU,,,Nauru,,
240,NPL,,,Nepal,Nepal,193.910
241,ANT,,,Netherlands Antilles,,
242,NCL,,,New Caledonia,New Caledonia,14.330
243,NIC,,,Nicaragua,Nicaragua,50.530
244,NER,,,Niger,Niger,14.080
245,NGA,,,Nigeria,Nigeria,190.620
246,NIU,,,Niue,,
247,NFK,,,Norfolk Island,,
248,MNP,,,Northern Mariana Islands,Northern Mariana Islands,117.080
249,OMN,,,Oman,Oman,11.740
250,PAK,,,Pakistan,Pakistan,236.280
251,PLW,,,Palau,Palau,45.470
252,PSE,,,"Palestinian Territory, Occupied",,
253,PAN,,,Panama,Panama,51.980
254,PNG,,,Papua New Guinea,Papua New Guinea,16.170
255,PRY,,,Paraguay,Paraguay,17.120
256,PER,,,Peru,Peru,23.730
257,PHL,,,Philippines,Philippines,329.990
258,PCN,,,Pitcairn,,
259,PRI,,,Puerto Rico,Puerto Rico,407.560
260,QAT,,,Qatar,Qatar,186.790
261,REU,,,Réunion,,
262,RUS,,,Russian Federation,Russian Federation,8.760
263,RWA,,,Rwanda,Rwanda,477.360
264,BLM,,,Saint Barthélemy,,
265,SHN,,,"Saint Helena, Ascension and Tristan da Cunha",,
266,KNA,,,Saint Kitts and Nevis,,
267,LCA,,,Saint Lucia,,
268,MAF,,,Saint Martin (French part),,
269,SPM,,,Saint Pierre and Miquelon,,
270,VCT,,,Saint Vincent and the Grenadines,,
271,WSM,,,Samoa,Samoa,67.270
272,SMR,,,San Marino,San Marino,524.130
273,STP,,,Sao Tome and Principe,Sao Tome and Principe,201.030
274,SAU,,,Saudi Arabia,Saudi Arabia,13.410
275,SEN,,,Senegal,Senegal,73.410
276,SRB,,,Serbia,Serbia,81.910
277,SYC,,,Seychelles,Seychelles,193.850
278,SLE,,,Sierra Leone,Sierra Leone,84.400
279,SGP,,,Singapore,Singapore,"7,713.140"
280,SLB,,,Solomon Islands,Solomon Islands,20.050
281,SOM,,,Somalia,Somalia,16.730
282,ZAF,,,South Africa,South Africa,43.680
283,SGS,,,South Georgia and the South Sandwich Islands,,
284,LKA,,,Sri Lanka,Sri Lanka,326.630
285,SDN,,,Sudan,Sudan,20.730
286,SUR,,,Suriname,Suriname,3.460
287,SJM,,,Svalbard and Jan Mayen,,
288,SWZ,,,Swaziland,Swaziland,72.650
289,SYR,,,Syrian Arab Republic,Syrian Arab Republic,124.410
290,TWN,,,"Taiwan, Province of China",,
291,TJK,,,Tajikistan,Tajikistan,58.640
292,TZA,,,"Tanzania, United Republic of",,
293,THA,,,Thailand,Thailand,131.160
294,TLS,,,Timor-Leste,Timor-Leste,79.240
295,TGO,,,Togo,Togo,125.340
296,TKL,,,Tokelau,,
297,TON,,,Tonga,Tonga,146.280
298,TTO,,,Trinidad and Tobago,Trinidad and Tobago,261.430
299,TUN,,,Tunisia,Tunisia,70.070
300,TKM,,,Turkmenistan,Turkmenistan,11.150
301,TCA,,,Turks and Caicos Islands,Turks and Caicos Islands,34.840
302,TUV,,,Tuvalu,Tuvalu,329.200
303,UGA,,,Uganda,Uganda,188.070
304,UKR,,,Ukraine,Ukraine,78.520
305,ARE,,,United Arab Emirates,United Arab Emirates,111.800
306,UMI,,,United States Minor Outlying Islands,,
307,URY,,,Uruguay,Uruguay,19.470
308,UZB,,,Uzbekistan,Uzbekistan,71.090
309,VUT,,,Vanuatu,Vanuatu,20.740
310,VEN,,,"Venezuela, Bolivarian Republic of",,
311,VNM,,,Viet Nam,,
312,VGB,,,"Virgin Islands, British",,
313,VIR,,,"Virgin Islands, U.S.",,
314,WLF,,,Wallis and Futuna,,
315,ESH,,,Western Sahara,,
316,YEM,,,Yemen,,
317,ZMB,,,Zambia,Zambia,19.560
318,ZWE,,,Zimbabwe,Zimbabwe,36.580
319,,,,,"Bahamas, The",37.700
320,,,,,Bolivia,9.850
321,,,,,Cabo Verde,123.800
322,,,,,Channel Islands,852.730
323,,,,,"Congo, Dem. Rep.",29.780
324,,,,,"Congo, Rep.",13.020
325,,,,,Ivory Coast,63.890
326,,,,,Curacao,345.720
327,,,,,"Egypt, Arab Rep.",82.430
328,,,,,Faeroe Islands,35.440
329,,,,,"Gambia, The",182.740
330,,,,,"Hong Kong SAR, China","6,845.240"
331,,,,,"Iran, Islamic Rep.",47.560
332,,,,,"Korea, Dem. Rep.",206.760
333,,,,,"Korea, Rep.",515.870
334,,,,,Kosovo,167.540
335,,,,,Kyrgyz Republic,29.820
336,,,,,Lao PDR,29.330
337,,,,,Libya,3.520
338,,,,,"Macao SAR, China","18,942.310"
339,,,,,"Macedonia, FYR",83.550
340,,,,,"Micronesia, Fed. Sts.",147.930
341,,,,,Moldova,124.020
342,,,,,Sint Maarten (Dutch part),"1,167.320"
343,,,,,Slovak Republic,112.590
344,,,,,South Sudan,0.000
345,,,,,St. Kitts and Nevis,208.430
346,,,,,St. Lucia,298.810
347,,,,,St. Martin (French part),574.710
348,,,,,St. Vincent and the Grenadines,280.440
349,,,,,Tanzania,55.600
350,,,,,"Venezuela, RB",34.470
351,,,,,Vietnam,289.320
352,,,,,Virgin Islands (U.S.),299.250
353,,,,,West Bank and Gaza,692.610
354,,,,,"Yemen, Rep.",46.230
